fold,stage,stage_task,eval_task,class_il,task_il,n_slides
1,0,tcga_lung,tcga_lung,0.842105,0.842105,95
1,1,tcga_brca,tcga_lung,0.873684,0.905263,95
1,1,tcga_brca,tcga_brca,0.827957,0.870968,93
1,2,tcga_rcc,tcga_lung,0.842105,0.873684,95
1,2,tcga_rcc,tcga_brca,0.849462,0.903226,93
1,2,tcga_rcc,tcga_rcc,0.934211,0.947368,76
1,3,tcga_esca,tcga_lung,0.8,0.884211,95
1,3,tcga_esca,tcga_brca,0.677419,0.83871,93
1,3,tcga_esca,tcga_rcc,0.907895,0.921053,76
1,3,tcga_esca,tcga_esca,0.733333,0.933333,15
2,0,tcga_lung,tcga_lung,0.926316,0.936842,95
2,1,tcga_brca,tcga_lung,0.894737,0.894737,95
2,1,tcga_brca,tcga_brca,0.821053,0.915789,95
2,2,tcga_rcc,tcga_lung,0.863158,0.894737,95
2,2,tcga_rcc,tcga_brca,0.821053,0.884211,95
2,2,tcga_rcc,tcga_rcc,0.962963,1.0,81
2,3,tcga_esca,tcga_lung,0.821053,0.926316,95
2,3,tcga_esca,tcga_brca,0.821053,0.884211,95
2,3,tcga_esca,tcga_rcc,0.950617,0.950617,81
2,3,tcga_esca,tcga_esca,0.8,1.0,15
3,0,tcga_lung,tcga_lung,0.943925,0.943925,107
3,1,tcga_brca,tcga_lung,0.906542,0.915888,107
3,1,tcga_brca,tcga_brca,0.885417,0.916667,96
3,2,tcga_rcc,tcga_lung,0.897196,0.925234,107
3,2,tcga_rcc,tcga_brca,0.885417,0.916667,96
3,2,tcga_rcc,tcga_rcc,0.921053,0.960526,76
3,3,tcga_esca,tcga_lung,0.813084,0.897196,107
3,3,tcga_esca,tcga_brca,0.864583,0.916667,96
3,3,tcga_esca,tcga_rcc,0.921053,0.960526,76
3,3,tcga_esca,tcga_esca,0.933333,0.933333,15
4,0,tcga_lung,tcga_lung,0.830357,0.830357,112
4,1,tcga_brca,tcga_lung,0.839286,0.839286,112
4,1,tcga_brca,tcga_brca,0.819149,0.882979,94
4,2,tcga_rcc,tcga_lung,0.875,0.883929,112
4,2,tcga_rcc,tcga_brca,0.797872,0.882979,94
4,2,tcga_rcc,tcga_rcc,0.948718,0.948718,78
4,3,tcga_esca,tcga_lung,0.794643,0.875,112
4,3,tcga_esca,tcga_brca,0.797872,0.904255,94
4,3,tcga_esca,tcga_rcc,0.858974,0.910256,78
4,3,tcga_esca,tcga_esca,0.875,1.0,16
5,0,tcga_lung,tcga_lung,0.802083,0.802083,96
5,1,tcga_brca,tcga_lung,0.770833,0.84375,96
5,1,tcga_brca,tcga_brca,0.893617,0.904255,94
5,2,tcga_rcc,tcga_lung,0.8125,0.833333,96
5,2,tcga_rcc,tcga_brca,0.87234,0.893617,94
5,2,tcga_rcc,tcga_rcc,0.945946,0.959459,74
5,3,tcga_esca,tcga_lung,0.833333,0.895833,96
5,3,tcga_esca,tcga_brca,0.861702,0.893617,94
5,3,tcga_esca,tcga_rcc,0.945946,0.959459,74
5,3,tcga_esca,tcga_esca,0.866667,1.0,15
6,0,tcga_lung,tcga_lung,0.852273,0.897727,88
6,1,tcga_brca,tcga_lung,0.875,0.954545,88
6,1,tcga_brca,tcga_brca,0.887755,0.908163,98
6,2,tcga_rcc,tcga_lung,0.886364,0.931818,88
