fold,stage,stage_task,eval_task,class_il,task_il,n_slides
1,0,tcga_lung,tcga_lung,0.873684,0.873684,95
1,1,tcga_brca,tcga_lung,0.873684,0.884211,95
1,1,tcga_brca,tcga_brca,0.698925,0.860215,93
1,2,tcga_rcc,tcga_lung,0.852632,0.905263,95
1,2,tcga_rcc,tcga_brca,0.72043,0.83871,93
1,2,tcga_rcc,tcga_rcc,0.921053,0.947368,76
1,3,tcga_esca,tcga_lung,0.757895,0.852632,95
1,3,tcga_esca,tcga_brca,0.623656,0.817204,93
1,3,tcga_esca,tcga_rcc,0.894737,0.960526,76
1,3,tcga_esca,tcga_esca,0.8,0.933333,15
2,0,tcga_lung,tcga_lung,0.936842,0.936842,95
2,1,tcga_brca,tcga_lung,0.926316,0.936842,95
2,1,tcga_brca,tcga_brca,0.831579,0.894737,95
2,2,tcga_rcc,tcga_lung,0.915789,0.936842,95
2,2,tcga_rcc,tcga_brca,0.852632,0.915789,95
2,2,tcga_rcc,tcga_rcc,0.975309,0.975309,81
2,3,tcga_esca,tcga_lung,0.768421,0.894737,95
2,3,tcga_esca,tcga_brca,0.8,0.873684,95
2,3,tcga_esca,tcga_rcc,0.950617,0.962963,81
2,3,tcga_esca,tcga_esca,0.733333,0.933333,15
3,0,tcga_lung,tcga_lung,0.850467,0.869159,107
3,1,tcga_brca,tcga_lung,0.831776,0.850467,107
3,1,tcga_brca,tcga_brca,0.791667,0.875,96
3,2,tcga_rcc,tcga_lung,0.775701,0.82243,107
3,2,tcga_rcc,tcga_brca,0.791667,0.854167,96
3,2,tcga_rcc,tcga_rcc,0.868421,0.934211,76
3,3,tcga_esca,tcga_lung,0.757009,0.850467,107
3,3,tcga_esca,tcga_brca,0.75,0.854167,96
3,3,tcga_esca,tcga_rcc,0.855263,0.921053,76
3,3,tcga_esca,tcga_esca,0.933333,0.933333,15
4,0,tcga_lung,tcga_lung,0.785714,0.785714,112
4,1,tcga_brca,tcga_lung,0.830357,0.839286,112
4,1,tcga_brca,tcga_brca,0.851064,0.93617,94
4,2,tcga_rcc,tcga_lung,0.857143,0.901786,112
4,2,tcga_rcc,tcga_brca,0.787234,0.861702,94
4,2,tcga_rcc,tcga_rcc,0.884615,0.910256,78
4,3,tcga_esca,tcga_lung,0.714286,0.821429,112
4,3,tcga_esca,tcga_brca,0.723404,0.840426,94
4,3,tcga_esca,tcga_rcc,0.833333,0.858974,78
4,3,tcga_esca,tcga_esca,0.875,0.875,16
5,0,tcga_lung,tcga_lung,0.8125,0.84375,96
5,1,tcga_brca,tcga_lung,0.802083,0.864583,96
5,1,tcga_brca,tcga_brca,0.87234,0.914894,94
5,2,tcga_rcc,tcga_lung,0.770833,0.833333,96
